,r2,mae,rmse
LinearRegression,0.4763857461710529,28.22728444869957,34.57383891539831
Ridge,0.886290682250789,12.769285586236155,16.11164562099162
Lasso,0.8697270704976948,13.608703737852121,17.245228919629852
ElasticNet,0.8849900278020199,12.669843664508413,16.20352946703455
BayesianRidge,0.9212766859885564,10.849585705109911,13.40582538147227
HuberRegressor,0.8974243399419357,12.162962192296504,15.302557996760076
RandomForest,0.5443619208014118,26.28272617799695,32.251645698962164
ExtraTrees,0.37081310457203354,31.879358126431953,37.899345354294994
GradientBoosting,0.6183376056543028,23.009124563651625,29.517635074224422
HistGradientBoosting,0.609561507797739,23.57272330763428,29.85507644127788
XGBoost,0.5256511303608342,26.810011580183698,32.90719077876398
LightGBM,0.5997415650707413,24.573703647426985,30.228188408820245
CatBoost,0.2174922354301243,36.500649634303386,42.26551856716184
RandomForestDeep,0.5292505456277903,26.87421782622465,32.78210120246383
AdaBoost,0.44069434247678185,29.918325734240636,35.73275323457811
AdaBoost_Linear,0.07705150153203888,37.184744601449424,45.901894220914535
GradientBoosting_Huber,0.5114941309212679,27.116128410417442,33.39464006838087
SVR_Linear,-67.74295368926265,312.9078746755643,396.146632339249
KernelRidge,-626.6372466164057,1196.0517660604942,1197.0057270500167
KNN,-2.920693324032805,83.23202541787704,94.60700859296776
Bagging,0.4677129543105468,28.472848390486444,34.858991820391616
VotingRegressor,0.914318874801197,11.202723362318457,13.985707936078786
VotingRegressor_Weighted,0.8711731928938535,14.001005171787652,17.149244634728998
Ensemble_Simple,0.8194101782160625,16.10980109702255,
Ensemble_Weighted,0.8757877932339712,13.436177395950034,
Ensemble_Top5,0.9261153767269306,10.23914623501619,
